date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,Team1 Win
25-10-2019,2020,0,,MEM,CHI,1450.218244,1349.117206,0.760901921,0.239098079,1433.752251,1365.583199,1446.522395,1302.669662,0.79559047,0.20440953,1428.711867,1320.48019,1462.0142,1463.399464,0.627826093,0.372173907,102,110,loose
25-10-2019,2020,0,,DEN,PHO,1599.016173,1361.873971,0.874434134,0.125565866,1599.815607,1361.074537,1612.272762,1308.04435,0.926700726,0.073299274,1612.710839,1307.606272,1653.208206,1504.343773,0.837906476,0.162093524,108,107,win
25-10-2019,2020,0,,SAC,POR,1444.375804,1589.080819,0.436017029,0.563982971,1435.638729,1597.817894,1430.646385,1628.395078,0.35173608,0.64826392,1423.917825,1635.123638,1489.866851,1529.690027,0.573874194,0.426125806,112,122,loose
25-10-2019,2020,0,,LAL,UTA,1467.246891,1599.463322,0.453769252,0.546230748,1478.162042,1588.548171,1466.902377,1622.011914,0.418423187,0.581576813,1478.767218,1610.147072,1623.901565,1610.961889,0.654328202,0.345671798,95,86,win
26-10-2019,2020,0,,MIL,MIA,1653.920168,1507.535018,0.80507286,0.19492714,1639.807185,1521.648002,1708.3995,1510.723476,0.846662654,0.153337346,1692.772037,1526.350939,1646.923115,1395.636507,0.882598353,0.117401647,126,131,loose
26-10-2019,2020,0,,DET,PHI,1466.174331,1590.795814,0.464626034,0.535373966,1459.12748,1597.842665,1460.722952,1621.084472,0.419205568,0.580794432,1454.52077,1627.286654,1396.497237,1536.771828,0.447591754,0.552408246,111,117,loose
26-10-2019,2020,0,,NYK,BOS,1315.477347,1577.265743,0.282655193,0.717344807,1306.433675,1586.309414,1254.21562,1610.983735,0.180242436,0.819757564,1248.834932,1616.364423,1299.372313,1567.327893,0.268261728,0.731738272,95,118,loose
26-10-2019,2020,0,,ATL,ORL,1447.689944,1545.639345,0.502951015,0.497048985,1453.966689,1539.3626,1418.128185,1563.111764,0.435733709,0.564266291,1425.531395,1555.708554,1401.555716,1531.127628,0.457657085,0.542342915,103,99,win
26-10-2019,2020,0,,CLE,IND,1347.092132,1494.641476,0.431995045,0.568004955,1360.095805,1481.637803,1284.452463,1495.841897,0.337677835,0.662322165,1300.545232,1479.749127,1353.490512,1501.45645,0.423465091,0.576534909,110,99,win
26-10-2019,2020,0,,CHI,TOR,1365.583199,1666.702916,0.239078517,0.760921483,1357.912992,1674.373122,1320.48019,1724.867911,0.147620318,0.852379682,1316.059412,1729.288689,1465.549539,1570.018276,0.493271394,0.506728606,84,108,loose
